codigo_cidade_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,abstencoes_pct,brancos_pct,nulos_pct,nome,numero,votos_validos,pct_votos_validos,eleito
56995,"100,00",327670,104526,223144,"31,90","3,64","5,01",SERGIO VIDIGAL,12,111920,"54,90",Eleito
57037,"100,00",315224,90645,224579,"28,76","4,37","6,14",ARNALDINHO BORGO,19,138741,"69,03",Eleito
57037,"100,00",315224,90645,224579,"28,76","4,37","6,14",MAX FILHO,45,62236,"30,97",Não eleito
57053,"100,00",251464,65740,185724,"26,14","2,41","3,28",JOAO COSER,13,72684,"41,50",Não eleito
57053,"100,00",251464,65740,185724,"26,14","2,41","3,28",DELEGADO PAZOLINI,10,102466,"58,50",Eleito
92215,"100,00",269556,88723,180833,"32,91","2,73","5,81",ANTONIO GOMIDE,13,64046,"38,72",Não eleito
92215,"100,00",269556,88723,180833,"32,91","2,73","5,81",ROBERTO NAVES,11,101349,"61,28",Eleito
93734,"100,00",971221,356949,614272,"36,75","4,26","9,86",VANDERLAN CARDOSO,55,250036,"47,40",Não eleito
93734,"100,00",971221,356949,614272,"36,75","4,26","9,86",MAGUITO VILELA,15,277497,"52,60",Eleito
09210,"100,00",699954,180904,519050,"25,85","2,34","3,79",EDUARDO BRAIDE,19,270557,"55,53",Eleito
09210,"100,00",699954,180904,519050,"25,85","2,34","3,79",DUARTE,10,216665,"44,47",Não eleito
43710,"100,00",427575,98086,329489,"22,94","3,94","8,73",FELIPE SALIBA,25,139987,"48,65",Não eleito
43710,"100,00",427575,98086,329489,"22,94","3,94","8,73",MARÍLIA,13,147768,"51,35",Eleito
45535,"100,00",213886,76171,137715,"35,61","3,66","6,10",DR LUCIANO,20,52515,"42,26",Não eleito
45535,"100,00",213886,76171,137715,"35,61","3,66","6,10",ANDRE MERLO,45,71764,"57,74",Eleito
47333,"100,00",410339,119497,290842,"29,12","2,74","6,87",WILSON REZATO,40,118349,"45,02",Não eleito
47333,"100,00",410339,119497,290842,"29,12","2,74","6,87",MARGARIDA SALOMÃO,13,144529,"54,98",Eleito
54011,"100,00",225412,63545,161867,"28,19","2,15","5,23",ELISA ARAÚJO,77,85990,"57,36",Eleito
54011,"100,00",225412,63545,161867,"28,19","2,15","5,23",TONY CARLOS,14,63932,"42,64",Não eleito
90670,"100,00",378097,93745,284352,"24,79","2,23","4,35",ABILIO,19,129777,"48,85",Não eleito
90670,"100,00",378097,93745,284352,"24,79","2,23","4,35",EMANUEL PINHEIRO,15,135871,"51,15",Eleito
04278,"100,00",1009731,209721,800010,"20,77","1,99","3,66",DELEGADO FEDERAL EGUCHI,51,364095,"48,24",Não eleito
04278,"100,00",1009731,209721,800010,"20,77","1,99","3,66",EDMILSON RODRIGUES,50,390723,"51,76",Eleito
05355,"100,00",221537,57333,164204,"25,88","1,67","2,96",MARIA,13,63869,"40,78",Não eleito
05355,"100,00",221537,57333,164204,"25,88","1,67","2,96",NÉLIO AGUIAR,25,92732,"59,22",Eleito
20516,"100,00",522269,121917,400352,"23,34","3,79","9,27",CICERO LUCENA,11,185055,"53,16",Eleito
20516,"100,00",522269,121917,400352,"23,34","3,79","9,27",NILVAN FERREIRA,15,163030,"46,84",Não eleito
25135,"100,00",216859,47127,169732,"21,73","4,16","9,95",YVES RIBEIRO,15,83858,"57,52",Eleito
25135,"100,00",216859,47127,169732,"21,73","4,16","9,95",FRANCISCO PADILHA,40,61931,"42,48",Não eleito
25313,"100,00",1157324,246010,911314,"21,26","3,48","9,17",MARILIA ARRAES,13,348126,"43,73",Não eleito
25313,"100,00",1157324,246010,911314,"21,26","3,48","9,17",JOÃO CAMPOS,40,447913,"56,27",Eleito
