"ANO_ELEICAO","NUM_TURNO","SIGLA_UE","CODIGO_CARGO","NOME_URNA_CANDIDATO","NUMERO_CANDIDATO"
2012,1,"07200",11,"EUDINA",15
2012,1,"07226",11,"TONHAO",15
2012,1,"07226",11,"D SOCORRO",33
2012,1,"07226",11,"DR CELSO",45
2012,1,"07226",11,"FRANCIVALDO VASCONCELOS",55
2012,1,"07234",11,"NONATO CHAVES",10
2012,1,"07234",11,"ZE ALBERTO",15
2012,1,"07234",11,"PATRICIA VIEIRA",22
2012,1,"07269",11,"MARIA LIRA",13
2012,1,"07269",11,"SABRY",25
2012,1,"07269",11,"CRISTIANE DAMIAO",70
2012,1,"07277",11,"DR ERIK",10
2012,1,"07277",11,"CORONEL MARCELLO",21
2012,1,"07277",11,"ROCHINHA",40
2012,1,"07277",11,"PAULINHO FONSECA",44
2012,1,"07277",11,"APARECIDA CARDOSO",70
2012,1,"07293",11,"FLEURY RIBEIRO",15
2012,1,"07293",11,"GLEYDSON RESENDE",22
2012,1,"07315",11,"ANTONIO SOARES",13
2012,1,"07315",11,"ERIC COSTA",20
2012,1,"07315",11,"CHINES",21
2012,1,"07315",11,"CARLITO SANTOS",70
2012,1,"07331",11,"LEO COSTA",12
2012,1,"07331",11,"PADRE VALE",13
2012,1,"07331",11,"ALBERICO FILHO",15
2012,1,"07331",11,"ANDRE COSTA",21
2012,1,"07331",11,"DR BAIAL",23
2012,1,"07331",11,"SORAYA BATISTA",70
2012,1,"07340",11,"MANSUETO",13
2012,1,"07340",11,"ZE GOMES",15
2012,1,"07340",11,"DIDI",50
2012,1,"07374",11,"ANTONIO DINIZ",12
2012,1,"07374",11,"MAGAL PT",13
2012,1,"07374",11,"ZE MARTINS",15
2012,1,"07390",11,"ZE FARIAS",13
2012,1,"07390",11,"GO",17
2012,1,"07390",11,"MACHADO NETO",40
2012,1,"07390",11,"DR OMAR",43
2012,1,"07390",11,"SERJAO ALMEIDA",45
2012,1,"07404",11,"EVILASIO",13
2012,1,"07404",11,"ARNALDO BEZERRA",15
2012,1,"07404",11,"ROBERVAL CAMPELO",25
2012,1,"07471",11,"DR JOEL",10
