"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"CAPITAO GALVAO",11,"65439",28,1,2020
"MAURIDES RODRIGUES",11,"96474",23,1,2020
"MIRIA DANTAS",11,"94013",25,1,2020
"MARCELO OLIVEIRA",11,"66893",13,1,2020
"GEOVANE MENEGUELLE",11,"56073",70,1,2020
"HAROLDO NAVES",11,"92061",15,1,2020
"CHIQUINHO PT",11,"36919",13,1,2020
"LOUVADO",11,"18759",55,1,2020
"DANDAN MEDEIROS",11,"90301",22,1,2020
"SOLANGE FREITAS",11,"71218",45,1,2020
"ANDRE PATTI",11,"49573",10,1,2020
"DALTON MORAIS",11,"57037",30,1,2020
"NESTOR ELVAS",11,"10375",15,1,2020
"JOSE LOURETO",11,"13897",29,1,2020
"DR RUBAO",11,"58394",19,1,2020
"ESPEDITO FILHO",11,"22373",11,1,2020
"ODILSON",11,"90433",45,1,2020
"CARLOS MURTA",11,"54259",15,1,2020
"TAICO",11,"74292",17,1,2020
"DR LUCIANO",11,"45535",20,1,2020
"DALVANIA CARDOSO",11,"81370",11,1,2020
"ZE DEZ",11,"03085",43,1,2020
"DR DANIEL",11,"04154",15,1,2020
"JEAN CARLO",11,"17299",20,1,2020
"ALEX ALMEIDA",11,"08176",11,1,2020
"TONY CARLOS",11,"54011",14,1,2020
"SAMUEL ALMEIDA",11,"93734",90,1,2020
"ROSALBA CIARLINI",11,"17590",11,1,2020
"IBRAIN VALMIR",11,"31690",20,1,2020
"NONATO CARVALHO",11,"08257",15,1,2020
"FABIO CORREA",11,"93025",11,1,2020
"CHICO CLEMENTE",11,"91855",55,1,2020
"ROGERIO MENEZES",11,"62910",43,1,2020
"PROFESSOR CIDO",11,"90174",13,1,2020
"CLAUDINEI SKINAO",11,"72230",17,1,2020
"EVERTON ROCHA",11,"36552",45,1,2020
"DR GIOVANNI",11,"42676",17,1,2020
"ULISSES MOREIRA NETO",11,"65099",27,1,2020
"JUNIOR MARABA",11,"30007",25,1,2020
"ZACARIAS PIVA",11,"54135",17,1,2020
"EDUCADOR SOCRATES MAGNO",11,"34134",50,1,2020
"CLAUDIO RANGEL BOA VIAGEM",11,"58190",33,1,2020
"NABOR WANDERLEY",11,"21172",10,1,2020
"JORGE ALEXANDRE",11,"26298",77,1,2020
"ADEMAR BEZERRA",11,"12033",15,1,2020
"NETO PONTES",11,"07617",17,1,2020
"MARCIA",11,"30678",22,1,2020
"PLINIO LEAO",11,"92339",15,1,2020
"HELIO",11,"16756",40,1,2020
"PASTOR ODAIAS",11,"08613",19,1,2020
"GUILHERME",11,"40371",55,1,2020
"DOUGLAS BRANDAO",11,"07641",15,1,2020
"LARA",11,"31658",20,1,2020
"JOAO VANES",11,"57134",10,1,2020
"JUNIOR NENZIM",11,"07315",20,1,2020
"RAFAEL BARBOSA",11,"10693",11,1,2020
"DIRLEI",11,"46671",77,1,2020
"RIVALDO CARVALHO",11,"12467",11,1,2020
"PROFESSORA BEL",11,"18856",18,1,2020
"ENGENHEIRO CLAUDE ABREU",11,"71153",27,1,2020
"RIGO TELES",11,"07315",22,1,2020
"MARCIA CONRADO",11,"25771",13,1,2020
"MAQUILES MOTA",11,"03077",43,1,2020
"CORAZZA",11,"79278",12,1,2020
"KADU",11,"63711",33,1,2020
"ZE PAULO",11,"27138",22,1,2020
"SERGIO SA",11,"57053",40,1,2020
"LOURIVAL SANTOS",11,"54038",15,1,2020
"EMIDIO SOUZA",11,"67890",13,1,2020
"DR ALAN MOURA",11,"21474",25,1,2020
"SABARA",11,"71072",30,1,2020
"VAL BISPO",11,"04421",22,1,2020
"MARCIO MARTINS",11,"27316",45,1,2020
"MATHEUS MOTA",11,"08591",11,1,2020
"RENATO RIBEIRO",11,"59099",77,1,2020
"ALVEAR SARAIVA",11,"43710",23,1,2020
"DELEGADA ADRIANA ACCORSI",11,"93734",13,1,2020
"MARCELO CAUMO",11,"87297",11,1,2020
"NONATO PEREIRA",11,"07439",90,1,2020
"CLOVIS BANCO",11,"98175",45,1,2020
"MARCINHO LOTERIA",11,"46337",70,1,2020
"MARCOS VERDURA",11,"92614",11,1,2020
"JARBAS SOSTER",11,"01392",70,1,2020
"LAURA LEAL",11,"62910",16,1,2020
"RENATO ROSENO",11,"13897",50,1,2020
"PADRE ERALDO",11,"27472",55,1,2020
"PROFESSORA SANDRA SANTOS",11,"64777",12,1,2020
"FRANCISCA HENRIQUE",11,"17795",19,1,2020
"GASPAR",11,"96750",22,1,2020
"HELI DOURADO",11,"93610",15,1,2020
"DOUGLAS",11,"92215",50,1,2020
"BRUNO SILVA",11,"07650",11,1,2020
"BINHO MERCADINHO",11,"32077",11,1,2020
"BORRACHA",11,"91014",12,1,2020
"VITOR HUGO BURKO",11,"75833",25,1,2020
"ALEXANDRE ASSAIANTE",11,"08613",13,1,2020
"ANTONIO COELHO",11,"10707",11,1,2020
"PAULINHO AUTOESCOLA",11,"56146",11,1,2020
"ZAFFA",11,"86835",15,1,2020
"EVANDRO FREITAS OLIVEIRA",11,"76910",45,1,2020
