UF;ELE_UF;PARTIDO;FILIADOS
MS;1.882.429;PCO;44
MS;1.882.429;PDT;20.755
MS;1.882.429;PL;14.070
MS;1.882.429;PMB;705
MS;1.882.429;PMN;3.488
MS;1.882.429;PODE;7.455
MS;1.882.429;PP;18.106
MS;1.882.429;PROS;1.291
MS;1.882.429;PRTB;444
MS;1.882.429;PSB;7.967
MS;1.882.429;PSC;4.757
MS;1.882.429;PSD;10.127
MS;1.882.429;PSDB;32.542
MS;1.882.429;PSL;7.107
MS;1.882.429;PSOL;2.043
MS;1.882.429;PSTU;348
MS;1.882.429;PT;34.292
MS;1.882.429;PTB;19.658
MS;1.882.429;PTC;3.057
MS;1.882.429;PV;5.000
MS;1.882.429;REDE;369
MS;1.882.429;REPUBLICANOS;15.979
MS;1.882.429;SOLIDARIEDADE;6.063
MT;2.207.635;AVANTE;1.025
MT;2.207.635;CIDADANIA;25.181
MT;2.207.635;DC;3.346
MT;2.207.635;DEM;48.488
MT;2.207.635;MDB;37.893
MT;2.207.635;NOVO;788
MT;2.207.635;PATRIOTA;5.040
MT;2.207.635;PCB;26
MT;2.207.635;PCDOB;2.411
MT;2.207.635;PCO;24
MT;2.207.635;PDT;19.770
MT;2.207.635;PL;26.449
MT;2.207.635;PMB;1.137
MT;2.207.635;PMN;3.357
MT;2.207.635;PODE;7.289
MT;2.207.635;PP;20.366
MT;2.207.635;PROS;3.424
MT;2.207.635;PRTB;1.694
MT;2.207.635;PSB;18.355
MT;2.207.635;PSC;11.555
MT;2.207.635;PSD;12.708
MT;2.207.635;PSDB;30.600
MT;2.207.635;PSL;8.155
MT;2.207.635;PSOL;1.204
MT;2.207.635;PSTU;92
MT;2.207.635;PT;18.969
MT;2.207.635;PTB;15.804
MT;2.207.635;PTC;1.353
MT;2.207.635;PV;7.760
MT;2.207.635;REDE;341
MT;2.207.635;REPUBLICANOS;9.838
MT;2.207.635;SOLIDARIEDADE;12.005
PA;5.448.677;AVANTE;7.495
PA;5.448.677;CIDADANIA;15.558
PA;5.448.677;DC;6.442
PA;5.448.677;DEM;26.807
PA;5.448.677;MDB;71.720
PA;5.448.677;NOVO;702
PA;5.448.677;PATRIOTA;17.408
PA;5.448.677;PCB;1.217
PA;5.448.677;PCDOB;15.220
PA;5.448.677;PCO;18
PA;5.448.677;PDT;29.824
PA;5.448.677;PL;33.905
PA;5.448.677;PMB;2.241
PA;5.448.677;PMN;8.791
PA;5.448.677;PODE;14.271
PA;5.448.677;PP;27.955
PA;5.448.677;PROS;7.708
PA;5.448.677;PRTB;5.750
PA;5.448.677;PSB;28.737
PA;5.448.677;PSC;29.961
PA;5.448.677;PSD;15.331
PA;5.448.677;PSDB;40.480
PA;5.448.677;PSL;10.466
PA;5.448.677;PSOL;19.433
PA;5.448.677;PSTU;833
PA;5.448.677;PT;59.272
PA;5.448.677;PTB;31.028
PA;5.448.677;PTC;6.236
PA;5.448.677;PV;12.178
PA;5.448.677;REDE;665
PA;5.448.677;REPUBLICANOS;36.598
PA;5.448.677;SOLIDARIEDADE;14.031
PA;5.448.677;UP;26
PB;2.934.538;AVANTE;7.827
PB;2.934.538;CIDADANIA;11.651
PB;2.934.538;DC;4.765
PB;2.934.538;DEM;32.712
PB;2.934.538;MDB;44.118
PB;2.934.538;NOVO;260
PB;2.934.538;PATRIOTA;6.759
PB;2.934.538;PCB;26
PB;2.934.538;PCDOB;8.224
PB;2.934.538;PCO;114
PB;2.934.538;PDT;15.587
PB;2.934.538;PL;17.295
PB;2.934.538;PMB;851
PB;2.934.538;PMN;2.726
PB;2.934.538;PODE;7.242
PB;2.934.538;PP;24.908
PB;2.934.538;PROS;2.672
PB;2.934.538;PRTB;3.144
PB;2.934.538;PSB;16.976
PB;2.934.538;PSC;6.232
PB;2.934.538;PSD;9.630
PB;2.934.538;PSDB;31.484
PB;2.934.538;PSL;10.013
PB;2.934.538;PSOL;1.627
PB;2.934.538;PSTU;91
PB;2.934.538;PT;27.089
PB;2.934.538;PTB;19.502
PB;2.934.538;PTC;2.848
PB;2.934.538;PV;6.354
PB;2.934.538;REDE;988
PB;2.934.538;REPUBLICANOS;12.846
PB;2.934.538;SOLIDARIEDADE;2.886
PB;2.934.538;UP;122
PE;6.715.073;AVANTE;8.744
PE;6.715.073;CIDADANIA;15.735
PE;6.715.073;DC;10.150
PE;6.715.073;DEM;34.033
PE;6.715.073;MDB;48.017
PE;6.715.073;NOVO;594
PE;6.715.073;PATRIOTA;11.641
PE;6.715.073;PCB;1.063
PE;6.715.073;PCDOB;21.289
PE;6.715.073;PCO;144
PE;6.715.073;PDT;43.921
PE;6.715.073;PHS;53
PE;6.715.073;PL;27.880
PE;6.715.073;PMB;1.072
PE;6.715.073;PMN;15.621
PE;6.715.073;PODE;16.252
PE;6.715.073;PP;52.790
PE;6.715.073;PPL;60
PE;6.715.073;PROS;3.913
PE;6.715.073;PRP;53
PE;6.715.073;PRTB;6.234
PE;6.715.073;PSB;34.376
PE;6.715.073;PSC;14.226
PE;6.715.073;PSD;9.735
PE;6.715.073;PSDB;36.287
PE;6.715.073;PSL;21.311
PE;6.715.073;PSOL;9.872
PE;6.715.073;PSTU;283
PE;6.715.073;PT;58.289
PE;6.715.073;PTB;33.999
PE;6.715.073;PTC;12.780
PE;6.715.073;PV;13.287
PE;6.715.073;REDE;1.413
