id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
178935,Rossoni,PSDB,PR,NA,NA,NA,NA
73466,Rubens Bueno,CIDADANIA,PR,Sim,Sim,Sim,Não
74371,Rubens Otoni,PT,GO,Sim,Sim,Não,NA
178887,Rubens Pereira Júnior,PCdoB,MA,Sim,NA,NA,NA
73604,Rui Falcão,PT,SP,Sim,Sim,Não,Sim
160635,Ruy Carneiro,PSDB,PB,Sim,Não,Sim,Não
204535,Sâmia Bomfim,PSOL,SP,Sim,Sim,Não,Não
178990,Samuel Moreira,PSDB,SP,Sim,Não,Sim,Não
204416,Sanderson,PSL,RS,Não,Não,Sim,Não
160621,Sandro Alex,PSD,PR,NA,NA,NA,NA
90842,Santini,PTB,RS,Não,Não,Sim,Sim
204387,Sargento Fahur,PSD,PR,Não,Não,Sim,Não
204399,Schiavinato,PP,PR,Sim,Não,Sim,Sim
178921,Sebastião Oliveira,AVANTE,PE,Não,Não,Sim,NA
73808,Sérgio Brito,PSD,BA,NA,Não,NA,Sim
178933,Sergio Souza,MDB,PR,Sim,Não,Sim,NA
204438,Sergio Toledo,PL,AL,Não,Não,Sim,Sim
178874,Sergio Vidigal,PDT,ES,NA,Sim,Não,Não
204437,Severino Pessoa,REPUBLICANOS,AL,Não,Não,Sim,Sim
178961,Shéridan,PSDB,RR,Sim,Não,Sim,Sim
204557,Sidney Leite,PSD,AM,Sim,Não,Sim,NA
74356,Silas Câmara,REPUBLICANOS,AM,Não,Não,Sim,NA
204360,Silvia Cristina,PDT,RO,Sim,Sim,Sim,Não
204425,Silvio Costa Filho,REPUBLICANOS,PE,Sim,Não,Sim,Sim
168175,Simplício Araújo,SOLIDARIEDADE,MA,NA,NA,NA,NA
178946,Soraya Santos,PL,RJ,Não,Não,Sim,Sim
178947,Sóstenes Cavalcante,DEM,RJ,Não,NA,Sim,Não
92776,Stefano Aguiar,PSD,MG,Não,Não,Sim,Sim
177282,Subtenente Gonzaga,PDT,MG,Sim,Sim,Sim,Não
204534,Tabata Amaral,PDT,SP,Sim,Sim,Sim,Não
178922,Tadeu Alencar,PSB,PE,Sim,Sim,Não,Não
74806,Tadeu Filippelli,MDB,DF,NA,NA,NA,NA
204464,Talíria Petrone,PSOL,RJ,Sim,Sim,Não,Não
206231,Ted Conti,PSB,ES,Sim,Sim,Sim,Não
178901,Tereza Cristina,DEM,MS,NA,NA,Sim,NA
204466,Tereza Nelma,PSDB,AL,NA,Sim,Não,NA
178862,Tia Eron,REPUBLICANOS,BA,NA,NA,NA,NA
143084,Tiago Dimas,SOLIDARIEDADE,TO,Não,Não,Sim,NA
204519,Tiago Mitraud,NOVO,MG,Não,Não,Sim,Não
160976,Tiririca,PL,SP,Sim,Sim,Não,Sim
197438,Tito,AVANTE,BA,NA,Não,Sim,Não
