"city","voto_obrig"
"2401701",3748
"2401800",4945
"2401859",2675
"2401909",1526
"2402006",36244
"2402105",4756
"2402204",13260
"2402303",9439
"2402402",4104
"2402501",4725
"2402600",32968
"2402709",4965
"2402808",2321
"2402907",1875
"2403004",4176
"2403103",23442
"2403202",3135
"2403251",127828
"2403301",2464
"2403400",2769
"2403509",3798
"2403608",12913
"2403707",3086
"2403756",1320
"2403806",4726
"2403905",1300
"2404002",2077
"2404101",956
"2404200",10809
"2404309",6191
"2404408",4875
"2404507",5798
"2404606",5307
"2404705",6236
"2404804",1061
"2404853",3225
"2404903",2852
"2405009",3557
"2405108",2814
"2405207",2477
"2405306",3509
"2405405",2201
"2405504",1170
"2405603",6529
"2405702",6750
"2405801",14596
"2405900",996
"2406007",2662
"2406106",8294
"2406155",1405
"2406205",2373
"2406304",2602
"2406403",1198
"2406502",6343
"2406601",2888
"2406700",4959
"2406809",2142
"2406908",1737
"2407005",4215
"2407104",34374
"2407203",15448
"2407252",1612
"2407302",3724
"2407401",4162
"2407500",4829
"2407609",1908
"2407708",4600
"2407807",9185
"2407906",965
"2408003",152848
"2408102",509535
"2408201",11395
"2408300",15192
"2408409",1824
"2408508",2454
"2408607",1672
"2408706",1815
"2408805",1870
"2408904",11068
"2408953",4201
"2409100",4898
"2409209",1256
"2409308",5472
"2409332",2102
"2409407",15068
"2409506",1541
"2409605",1152
"2409704",3058
"2409803",5974
"2409902",6820
"2410009",1636
"2410108",5951
"2410207",3558
"2410256",2249
"2410306",3457
"2410405",3471
"2410504",2336
"2410603",1506
"2410702",1473
"2410801",1888
"2410900",2996
"2411007",1914
"2411056",1872
"2411106",1524
"2411205",17136
"2411403",6550
"2411429",1333
"2411502",9771
"2411601",1182
"2411700",1703
"2411809",1580
"2411908",1872
"2412005",48646
"2412104",3115
"2412203",17883
"2412302",5588
"2412401",2486
"2412500",9519
"2412559",3770
"2412609",7772
"2412708",2708
"2412807",3818
"2412906",4741
"2413003",3030
"2413102",2322
"2413201",1659
"2413300",2324
"2413359",4796
"2413409",3696
