,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
22,20_tatto_educacao_p,Tatto,educacao,20,pergunta,121,12,33.467333333333336,22.048,3.6154658273739564,5.488026124818578,64.41789228472715,66.5758857767534,145.61816677040247,39.60687458537541,16.36797807097479
23,54_marina_sustentabilidade_p,Marina,sustentabilidade,54,pergunta,171,8,32.784666666666666,28.25600000000001,5.2158529393822315,6.051812004530009,67.47901266750398,69.86381121694676,263.1041048597176,52.27366896718366,23.668879219324573
24,70_joice_transporte_r,Joice,transporte,70,resposta,187,1,33.467333333333336,31.215999999999998,5.58753809685066,5.990517683239365,67.8956141084482,69.89277916387387,278.3078796308704,65.66670755560773,26.024690089737046
25,112_franca_transporte_r,Franca,transporte,112,resposta,144,9,34.15,28.416000000000018,4.216691068814056,5.067567567567564,69.6760963273321,72.73347866007808,151.63893682011596,45.103094200812286,13.607419936468364
26,77_arthur_economia_r,Arthur,economia,77,resposta,254,3,49.16866666666667,47.376333333333335,5.165891556953615,5.361326682098657,68.17075727741296,70.70157491122637,149.92220101735117,44.32989676463547,19.720464635915754
27,86_sabara_educacao_r,Sabara,educacao,86,resposta,207,11,47.803333333333335,41.52566666666667,4.330241963600865,4.984868796005682,71.56000871183147,74.23218654215799,136.25437100309128,32.29389541635635,11.169801254255441
28,101_boulos_etica_p,Boulos,etica,101,pergunta,142,15,38.246,28.88300000000001,3.7128065680071116,4.9163868019250065,70.26343006654325,73.03004284937197,154.75661320574378,37.967579442086475,17.186826431271783
29,98_russomano_auxilio_r,Russomano,auxilio,98,resposta,195,20,51.21666666666667,38.096,3.8073543768304585,5.1186476270474595,70.27868895763302,73.53305273268536,152.17733468145258,52.795261921344796,12.464676700460092
30,73_andrea_transporte_r,Andrea,transporte,73,resposta,142,8,33.467333333333336,29.813666666666666,4.242943367661998,4.762916335908588,68.31965155296176,70.4926918833339,136.777906753456,35.17127933620517,13.613582766064455
31,46_orlando_aliancas_p,Orlando,aliancas,46,pergunta,154,7,34.15,28.799999999999997,4.509516837481699,5.347222222222222,68.65558992711001,71.11470619344975,171.74397013121379,57.95920630337084,17.18949337468605
32,21_covas_educacao_r,Covas,educacao,21,resposta,187,13,44.39,36.20799999999999,4.212660509123676,5.164604507291208,63.70998364025328,66.2250287809986,125.77315472975738,51.6499903003438,11.930338568103219
33,126_orlando_emprego_r,Orlando,emprego,126,resposta,218,20,50.534,38.419000000000004,4.313927256896347,5.67427574897837,71.89934733503074,74.51156369766413,184.28045308284783,40.578291557241286,20.170728579624527
34,14_andrea_empregos_p,Andrea,empregos,14,pergunta,133,11,35.51533333333333,29.813666666666666,3.744861374429824,4.461041356872128,63.75719098916799,66.39422556954196,124.14688739515825,37.71395267920678,13.539241484355498
