,fala_id,candidato,tema,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
63,russomano_6.wav,Russomano,sem tema,216,20,53.52941666666667,43.17270833333333,4.0351644656442796,5.0031607545276,74.24419045123112,77.03973005226023,169.92627445882016,39.272436797583126,18.536761410495437
62,russomano_4.wav,Russomano,sem tema,332,29,85.702,69.15500000000002,3.8738885906980003,4.8008097751427945,73.9101800122279,76.3599572457783,133.07451347136902,23.630083588150768,12.859498253236875
25,russomano_16.wav,Russomano,sem tema,91,4,20.860354166666667,18.070177083333334,4.362342042371044,5.0359218717304115,74.03249540346839,76.55516347055699,146.2765075248735,21.732650887253826,14.99626349588968
26,russomano_14.wav,Russomano,sem tema,120,11,29.4998125,23.183999999999997,4.067822464973294,5.175983436853002,74.06357112444279,76.755424961101,144.24007494910907,51.10632700059431,14.876796990170071
21,russomano_17.wav,Russomano,sem tema,72,4,16.97908333333333,14.287999999999998,4.240511609872932,5.03919372900336,74.5547525066771,76.95704817431192,140.3223361787191,23.31618293933079,13.05282086899647
58,russomano_5.wav,Russomano,sem tema,419,37,105.14570833333333,87.80170833333334,3.9849462868392553,4.772116715648566,74.7499766569816,77.53079146433754,167.79134997654148,58.8237680255232,15.943894219522129
57,russomano_1.wav,Russomano,sem tema,496,52,128.25,94.91700000000002,3.867446393762183,5.22561817166577,73.83752276002267,76.57650042543865,172.0044465871682,64.3889539513815,19.134071297774135
8,russomano_22.wav,Russomano,sem tema,186,31,60.44597916666667,40.08000000000001,3.077127752156109,4.64071856287425,73.57618623979398,76.22368641061503,133.14959238832304,52.33424929379344,11.970521711438879
19,russomano_19.wav,Russomano,sem tema,83,9,22.597645833333335,16.543999999999997,3.672948970532513,5.0169245647969065,72.6597934125718,75.2061167680465,135.96340721431213,78.13385963791754,11.993960313350957
9,russomano_23.wav,Russomano,sem tema,198,32,61.20075,41.664,3.235254469920712,4.752304147465438,73.57100178704229,76.58273837546284,134.82949385891385,54.191708322888616,10.345972154727525
