"nivel";"ano";"codigo_assunto";"nome_assunto";"dispositivo_legal_assunto";"denuncias";"tempo_mediano"
"Estado";2020;11581;"Crimes cometidos contra autoridade ou agente descrito nos arts. 142 e 143 da CF, integrantes do sistema prisional e da Força Nacional de Seg";"CP e Lei 8.072/1990
Art. 121, § 2º, VII; 129, § 12 (CP) e Art. 1º, I e II (Lei 8.072/1990)";9;210
"Estado";2020;8359;"Leve ";"Art. 129, caput, CP.";9;175
"Estado";2020;9456;"Difamação";"Art. 139, CP.";9;178
"Estado";2020;9775;"Crimes da Lei de licitações";"Arts. 89 a 98, Lei Federal nº 8.666/93.";9;1392
"Estado";2020;9874;"Fraude processual";"Art. 347, CP.";9;189
"Estado";2020;11499;"Contra pessoas não identificadas como mulher";"CP, Art. 129, § 9º e 11.";8;304,5
"Estado";2020;7459;"Registro / Porte de arma de fogo ";"Lei Federal nº 10.826/2003.";8;5
"Estado";2020;8648;"Estatuto da criança e do adolescente";"Arts. 228 a 244-B, Lei Federal nº 8069/90 (ECA).";8;2
"Estado";2020;8700;"Resistência ";"Art. 329, CP.";8;154,5
"Estado";2020;9436;"Aborto provocado por terceiro";"Art. 125 e 126, CP.";8;76
"Estado";2020;9491;"Outras fraudes";"Art. 176, CP.";8;218
"Estado";2020;9550;"Casa de Prostituição";"Art. 229, CP.";8;2177,5
"Estado";2020;9634;"Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins";"Art. 306,  CP.";8;22,5
"Estado";2020;9656;"Concussão";"Art. 316, caput, CP.";8;143
"Estado";2020;9843;"Entrada de aparelho telefônico de comunicação móvel em estabelecimento prisional";"Art. 349-A, CP.";8;338,5
"Estado";2020;10065;"Ameaça";"Art. 223, CPM.";7;9
"Estado";2020;10178;"Roubo qualificado";"Art. 242, § 2º, CPM.";7;642
"Estado";2020;10525;"Competência do MP ";"Art. 129, inc. III e VII, CF; Art. 9º e 25, inc. IV, Lei Federal nº 8625/1993; Art. 16 e 24, CPP.";7;436
"Estado";2020;1431;"Roubo ";"art. 157 CP";7;3410
"Estado";2020;6868;"Cometida contra Criança, Gestante, Portador de Deficiência, Adolescente ou Maior de 60 (sessenta) anos *C";"art. 1º, §4º, inciso II, da Lei nº 9.455/97";7;29
"Estado";2020;8364;"Decorrente de Violência Doméstica ";"Art. 129, § 9º e 11, CP.";7;50
"Estado";2020;9568;"Abandono Material";"Art. 244, CP.";7;4
"Estado";2020;9595;"Atentado contra a segurança de serviços de utilidade pública";"Art. 265, CP.";7;4
"Estado";2020;9601;"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica";"Art. 282, CP.";7;19
"Estado";2020;9645;"Falsificação de documento Público praticada por Funcionário Público";"Art. 297, §1º, CP.";7;163
"Estado";2020;9729;"Participação em corrida, disputa ou competição automobilística não autorizada ";"Art. 308,  Lei Federal nº 9503/97";7;32
"Estado";2020;9966;"Concussão";"Art. 305, CPM.";7;635
"Estado";2020;10071;"Violação de domicílio";"Art. 226, CPM.";6;85
"Estado";2020;10139;"Embriaguez ao volante";"Art. 279, CPM.";6;12,5
"Estado";2020;11489;"Fabrico, comércio ou detenção de arma branca ou munição";"DL 3688/41, Art. 18.";6;18,5
"Estado";2020;11528;"Registro não autorizado da intimidade sexual";"CP, Art. 216-B";6;149
"Estado";2020;11584;"Crimes Previstos no Estatuto da Pessoa com Deficiência";"Arts. 88 a 91 da Lei Federal nº 13.146/2015";6;24,5
"Estado";2020;8642;"Porte, Posse, Aquisição,Transporte ou Fornecimento de Arma de Fogo com Numeração, Marca ou Outro Sinal de Identificação Raspado, Suprimido ou Adulterado";"Art. 16, inc. IV, Lei Federal nº 10.826/03.";6;34
"Estado";2020;8667;"Adquirir, possuir ou armazenar fotografia, vídeo ou registro que contenha cena de sexo explícito que contenha cena de sexo explícito ou pornográfica envolvendo criança ou adolescente";"Art. 241-B, Lei Federal nº 8069/90 (ECA).";6;40
"Estado";2020;9217;"Propaganda Política - Propaganda Eleitoral - Internet";"Art. 57-A a 57-I, Lei Federal nº 9.504/97. ";6;2,5
"Estado";2020;9564;"Estupro de vulnerável com resultado lesão corporal grave";"Art. 217-A, § 3º, CP.";6;62,5
"Estado";2020;9699;"Crimes Resultante de Preconceito de Raça ou de Cor";"Art. 1º ao 20, Lei Federal nº 7.716/89.";6;90,5
"Estado";2020;9746;"Comércio Ilegal de Arma de Fogo ";"Art. 17, Lei Federal nº 10.826/03.";6;268
"Estado";2020;9754;"Submeter criança ou adolescente a vexame ou constrangimento ";"Art. 232, Lei Federal nº 8069/90 (ECA).";6;125
"Estado";2020;9848;"Crime Culposo *C";"Art. 18, II, CP.";6;427
"Estado";2020;9918;"Semi-aberto *C";"Art. 35, CP.";6;391,5
"Estado";2020;9971;"Corrupção passiva";"Art. 308, CPM.";6;291,5
"Estado";2020;9998;"Desacato a militar";"Art. 299, CPM.";6;6
"Estado";2020;10066;"Constrangimento ilegal";"Art. 222, CPM.";5;205
"Estado";2020;10177;"Roubo";"Art. 242, caput, CPM.";5;1
"Estado";2020;6869;"Cometida Mediante Sequestro *C";"art. 1º, §4º, inciso I, da Lei nº 9.455/97";5;134
"Estado";2020;8533;"Quadrilha ou Bando (art. 288)";"Art. 288, CP.";5;52
"Estado";2020;8608;"Contra a Fauna";"Arts. 29 a 37, Lei Federal nº 9605/98.";5;486
"Estado";2020;9488;"Apropriação indébita Previdenciária";"Art. 168-A, CP. e Lei Federal nº 8212/91.";5;53
"Estado";2020;9510;"Fraude para Recebimento de Indenização ou Valor de Seguro";"Art. 171,§2º, V, CP.";5;4
"Estado";2020;9565;"Estupro de vulnerável com resultado morte";"Art. 217-A, § 4º, CP.";5;56
"Estado";2020;9608;"Omissão de Notificação de Doença";"Art. 269, CP.";5;118
"Estado";2020;9623;"Falsificação do selo ou sinal público";"Art. 296, CP.";5;5
"Estado";2020;9630;"Falsidade de atestado médico";"Art. 302, CP.";5;2462
"Estado";2020;9631;"Reprodução ou adulteração de selo ou peça filatélica";"Art. 303,  CP.";5;902
"Estado";2020;9808;"Parcelamento do solo urbano";"Art. 50 a 52, Lei Federal nº 6.766/79.";5;1029
"Estado";2020;9850;"Usurpação de função pública";"Art. 328, CP.";5;108
"Estado";2020;9939;"Crime / Contravenção contra Criança / Adolescente ";"Art. 61, inc. II, ""h"", CP e 2º, Lei Federal nº 8069/90 (ECA).";5;69
"Estado";2020;9969;"Corrupção";"Arts. 308 a 310, CPM. ";5;20
"Estado";2020;10466;"Ausência de Publicidade ";"Arts. 5º, inc. LX, 37, caput, e 93, inc. IX, CF; Art. 564, inc. IV e 792, caput, e § 1º, CPP; Arts. 387 e 500, inc. IV, CPPM.";4;23
"Estado";2020;10507;"Crimes Hediondos ";"Art. 2º, § 2º, Lei Federal nº 8072/1990 (Lei dos Crimes Hediondos).";4;28
"Estado";2020;1293;"Homicídio Simples";"art. 121 caput CP";4;4769,5
"Estado";2020;1427;"Furto ";"art. 155 caput CP";4;3535
"Estado";2020;6932;"Invasão de dispositivo informático";"Artigo 154-A, do Código Penal.";4;54
"Estado";2020;8353;"Homicídio Simples";"Art. 121, CP.";4;34
