UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
SC,Bom Jardim da Serra,0.7567,0.9111,0.5396,1,0.5759
SP,Ilhabela,0.7566,0.0266,1,1,1
SP,Leme,0.7564,1,0.8913,0.779,0.3555
RS,Santiago,0.7563,1,1,0.6336,0.3915
RS,Novo Hamburgo,0.7562,1,1,0.6887,0.3362
MS,Inocência,0.7562,1,0.4695,1,0.5553
PR,Ipiranga,0.7559,1,0.409,0.6145,1
SC,Iomerê,0.7557,1,0.8055,0.5578,0.6596
MG,Itapeva,0.7554,1,0.2132,1,0.8084
RS,Centenário,0.7553,0.3584,0.9965,0.6897,0.9765
RS,Tapejara,0.7548,1,0.7842,0.6481,0.5869
RS,Carazinho,0.7546,1,1,0.6457,0.3728
RS,Pouso Novo,0.7545,0.484,1,0.758,0.7759
RR,Boa Vista,0.7544,0.5234,0.8147,1,0.6794
MG,Ituiutaba,0.7541,1,1,0.6339,0.3824
SP,Itajobi,0.7538,1,0.8522,0.507,0.6561
SP,Porto Feliz,0.7534,1,0.9118,0.5137,0.5882
PR,Santa Tereza do Oeste,0.7533,0.8614,0.5848,0.567,1
SC,Sul Brasil,0.7533,0.6618,0.9685,0.8659,0.5169
PR,Ouro Verde do Oeste,0.7531,1,0.3097,1,0.7027
RS,Aratiba,0.753,1,1,0.6131,0.399
SC,Rio das Antas,0.753,1,0.5701,0.7576,0.6841
SP,Itapevi,0.7528,1,0.784,0.5338,0.6934
PR,Ubiratã,0.7528,1,0.3535,0.6575,1
SP,Vista Alegre do Alto,0.7526,1,0.4991,0.5115,1
RS,Esmeralda,0.7524,0.9165,0.5489,0.6923,0.8516
MT,Cláudia,0.7523,1,0.5712,0.759,0.6792
ES,Alfredo Chaves,0.7522,0.6355,0.9141,0.9042,0.5548
PR,Pérola,0.7515,0.9061,0.2594,0.8404,1
SP,Ourinhos,0.7514,1,1,0.7585,0.247
PR,Rebouças,0.7513,0.7494,0.573,0.7703,0.9123
PR,Enéas Marques,0.7512,1,0.5374,0.4673,1
RS,Ilópolis,0.7506,0.7156,0.9458,0.7481,0.5931
SP,Monte Azul Paulista,0.7505,1,0.4534,0.5487,1
BA,Teodoro Sampaio,0.75,0,1,1,1
CE,Pereiro,0.75,0,1,1,1
TO,Pedro Afonso,0.75,1,1,0,1
SP,Jaci,0.7499,0.969,0.8851,0.6247,0.521
GO,São Luiz do Norte,0.7499,0.2693,0.7303,1,1
SC,Itapema,0.7485,1,0.4654,0.7658,0.7626
SP,Cajati,0.7484,1,0.6123,0.6817,0.6997
GO,Barro Alto,0.7482,1,0.8209,0.9224,0.2496
PR,Palotina,0.748,1,0.9032,0.8279,0.2608
SP,Campos do Jordão,0.7478,1,1,0.6915,0.2998
SC,Luiz Alves,0.7473,1,0.7854,0.753,0.451
BA,Mata de São João,0.7471,1,0.5183,0.6491,0.821
MS,Alcinópolis,0.747,1,0.4937,1,0.4941
SC,Porto Belo,0.7467,1,0.5962,0.7372,0.6534
RS,Boa Vista do Sul,0.7464,1,1,0.7591,0.2266
SP,Quintana,0.7461,0.7054,1,0.4765,0.8026
SP,São João da Boa Vista,0.7461,1,1,0.7522,0.2323
